year,epa_max,epa_1p,epa_5p,epa_10p,epa_25p,epa_median,epa_75p,epa_mean,epa_sd,auto_epa_max,auto_epa_1p,auto_epa_5p,auto_epa_10p,auto_epa_25p,auto_epa_median,auto_epa_75p,auto_epa_mean,auto_epa_sd,teleop_epa_max,teleop_epa_1p,teleop_epa_5p,teleop_epa_10p,teleop_epa_25p,teleop_epa_median,teleop_epa_75p,teleop_epa_mean,teleop_epa_sd,endgame_epa_max,endgame_epa_1p,endgame_epa_5p,endgame_epa_10p,endgame_epa_25p,endgame_epa_median,endgame_epa_75p,endgame_epa_mean,endgame_epa_sd,rp_1_epa_max,rp_1_epa_1p,rp_1_epa_5p,rp_1_epa_10p,rp_1_epa_25p,rp_1_epa_median,rp_1_epa_75p,rp_1_epa_mean,rp_1_epa_sd,rp_2_epa_max,rp_2_epa_1p,rp_2_epa_5p,rp_2_epa_10p,rp_2_epa_25p,rp_2_epa_median,rp_2_epa_75p,rp_2_epa_mean,rp_2_epa_sd,epa_quals_acc,epa_quals_mse,quals_count,epa_elims_acc,epa_elims_mse,elims_count,epa_champs_acc,epa_champs_mse,champs_count,epa_acc,epa_mse,count,rp_1_acc,rp_1_mse,rp_1_champs_acc,rp_1_champs_mse,rp_2_acc,rp_2_mse,rp_2_champs_acc,rp_2_champs_mse,rp_champs_count,rp_count,score_mean,score_sd,auto_mean,teleop_mean,one_mean,two_mean,endgame_mean,fouls_mean,no_fouls_mean,rp_1_mean,rp_2_mean
2002,24.03,20.8,17.83,16.64,14.17,11.77,9.57,11.96,3.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5535,0.2375,1915,0.6028,0.2196,282,0.5526,0.2286,152,0.5599,0.2352,2197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,28.44,11.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003,57.76,51.87,43.39,38.2,28.68,20.01,11.36,20.79,12.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6284,0.2226,2791,0.6047,0.2221,382,0.6154,0.2187,572,0.6256,0.2225,3173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,48.4,31.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004,79.21,65.76,53.43,46.03,35.44,22.34,14.42,25.76,14.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6428,0.2045,2836,0.6602,0.2261,362,0.6401,0.2118,589,0.6448,0.2069,3198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,52.27,35.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005,34.19,25.56,19.39,16.59,11.91,7.36,3.68,8.41,5.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6645,0.2055,1699,0.6639,0.1991,360,0.6068,0.2244,468,0.6644,0.2044,2059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,19.71,15.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2006,56.07,34.81,23.85,19.85,13.68,8.76,4.94,10.23,7.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6833,0.1999,2719,0.6684,0.2003,564,0.6751,0.2078,477,0.6808,0.2,3283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,30.78,20.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2007,72.24,45.83,28.3,21.11,11.3,5.12,1.36,8.36,9.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6097,0.2074,2903,0.6212,0.2211,660,0.6528,0.2156,481,0.6118,0.2099,3563,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,23.89,32.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2008,77.24,41.43,28.35,22.88,15.97,10.85,6.94,12.53,8.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6734,0.1925,3298,0.7236,0.1748,738,0.7286,0.1709,468,0.6826,0.1893,4036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,41.11,24.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2009,50.11,37.72,30.16,26.3,20.39,15.69,12.24,16.98,6.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6745,0.1961,3720,0.68,0.1965,847,0.6965,0.1806,481,0.6755,0.1962,4567,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,52.13,20.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010,8.65,5.12,3.24,2.52,1.51,0.85,0.41,1.14,1.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6205,0.1702,4643,0.7047,0.1638,921,0.702,0.1646,651,0.6344,0.1691,5564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2.81,2.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011,63.3,48.28,33.13,25.43,13.83,6.39,2.55,10.15,10.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7245,0.1609,5253,0.7415,0.1686,971,0.7588,0.159,655,0.7272,0.1621,6224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,29.59,28.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
